panel,method,drop_rate,metric,mean,std,n
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.0,macro_f1,0.691088813498024,0.0031865925642198902,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.1,macro_f1,0.6665474877891217,0.006138131681809639,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.2,macro_f1,0.6407581832151721,0.00830175936963539,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.30000000000000004,macro_f1,0.6179187588568206,0.008563412209486827,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.4,macro_f1,0.5919542047289238,0.009155171246173205,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.5,macro_f1,0.5631233305588335,0.01114294200978712,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.6000000000000001,macro_f1,0.5345483783644275,0.010705327585965659,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.7000000000000001,macro_f1,0.5087193567044784,0.009666286877749624,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.8,macro_f1,0.48218167753965496,0.00951565846168992,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,0.9,macro_f1,0.4506529779765826,0.00876692634423311,50
"Panel B: WSI available, drop molecular",Early fusion + modality dropout,1.0,macro_f1,0.420087635787236,0.005386764383633903,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.0,macro_f1,0.64012646397466,0.0,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.1,macro_f1,0.6178398090584013,0.005911850697332459,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.2,macro_f1,0.5946411919629683,0.007898879008435491,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.30000000000000004,macro_f1,0.5733892213832794,0.007864607452883232,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.4,macro_f1,0.5495684266375522,0.008502840950991396,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.5,macro_f1,0.5253342436939046,0.01014647831089394,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.6000000000000001,macro_f1,0.4977576242770256,0.011770766337959124,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.7000000000000001,macro_f1,0.4733666390958213,0.009490880401945625,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.8,macro_f1,0.44903490221509806,0.008463591960723604,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,0.9,macro_f1,0.41994167354135625,0.006406725647741068,50
"Panel B: WSI available, drop molecular",Late fusion + averaging,1.0,macro_f1,0.3916499119231191,5.607473066727768e-17,50
"Panel B: WSI available, drop molecular",RePercENT,0.0,macro_f1,0.7394023009095898,0.007341158573891025,50
"Panel B: WSI available, drop molecular",RePercENT,0.1,macro_f1,0.7093022682827264,0.009134137976993665,50
"Panel B: WSI available, drop molecular",RePercENT,0.2,macro_f1,0.6760244567001233,0.009645604557158072,50
"Panel B: WSI available, drop molecular",RePercENT,0.30000000000000004,macro_f1,0.6442023485940186,0.009347205132096742,50
"Panel B: WSI available, drop molecular",RePercENT,0.4,macro_f1,0.6135393773218231,0.009842073732048573,50
"Panel B: WSI available, drop molecular",RePercENT,0.5,macro_f1,0.5811487909652018,0.009387513106733247,50
"Panel B: WSI available, drop molecular",RePercENT,0.6000000000000001,macro_f1,0.5479105937351272,0.012094555013323828,50
"Panel B: WSI available, drop molecular",RePercENT,0.7000000000000001,macro_f1,0.516299807986938,0.010313603413533594,50
"Panel B: WSI available, drop molecular",RePercENT,0.8,macro_f1,0.4843518907809388,0.012118825905523517,50
"Panel B: WSI available, drop molecular",RePercENT,0.9,macro_f1,0.45054109044697044,0.009264874471376678,50
"Panel B: WSI available, drop molecular",RePercENT,1.0,macro_f1,0.41877281471030015,0.009288710849227935,50
