component,eval,mean,std
S_path_all,TCGA-LUAD,0.8240000000000001,0.016733200530681478
S_path_all,TCGA-LUSC,0.7816326530612245,0.04119720252691093
S_path_all,TCGA-OV,0.95,0.014165238556168094
S_path_all,TCGA-PRAD,0.9940000000000001,0.0054772255750516665
S_path_clin,overall,0.9435047951176984,0.0016770169190646232
S_path_clin,TCGA-BRCA,0.9944186046511627,0.007642640337281412
S_path_clin,TCGA-COAD,0.9701149425287356,0.013105464656311948
S_path_clin,TCGA-GBM,0.9220338983050848,0.012569827944229945
S_path_clin,TCGA-HNSC,0.9711538461538461,0.015203257981578762
S_path_clin,TCGA-KIRC,0.9906542056074766,0.0
S_path_clin,TCGA-LGG,0.9568627450980391,0.01640509855949167
S_path_clin,TCGA-LUAD,0.8380000000000001,0.02167948338867877
S_path_clin,TCGA-LUSC,0.7816326530612245,0.035787097789286064
S_path_clin,TCGA-OV,0.9551724137931036,0.01124000414690112
S_path_clin,TCGA-PRAD,0.9940000000000001,0.0054772255750516665
S_path_mol,overall,0.9361813426329555,0.0025715573153884163
S_path_mol,TCGA-BRCA,0.9934883720930232,0.002547546779093788
S_path_mol,TCGA-COAD,0.9724137931034484,0.010280772310343848
S_path_mol,TCGA-GBM,0.9033898305084745,0.009662503602535082
S_path_mol,TCGA-HNSC,0.9692307692307691,0.008044807947443005
S_path_mol,TCGA-KIRC,0.988785046728972,0.0041795663130837196
S_path_mol,TCGA-LGG,0.9588235294117646,0.01278274981412285
S_path_mol,TCGA-LUAD,0.808,0.019235384061671315
S_path_mol,TCGA-LUSC,0.7591836734693878,0.011634443113256489
S_path_mol,TCGA-OV,0.946551724137931,0.015421158465515766
S_path_mol,TCGA-PRAD,0.9960000000000001,0.005477225575051666
S_path_wsi,overall,0.9389712292938099,0.0027569988318817853
S_path_wsi,TCGA-BRCA,0.9944186046511628,0.006064374330421051
S_path_wsi,TCGA-COAD,0.9701149425287356,0.010280772310343892
S_path_wsi,TCGA-GBM,0.9203389830508474,0.015394832308970293
S_path_wsi,TCGA-HNSC,0.9692307692307691,0.004300130725961119
S_path_wsi,TCGA-KIRC,0.9869158878504674,0.005118902406590338
S_path_wsi,TCGA-LGG,0.9607843137254901,0.012007302660701855
S_path_wsi,TCGA-LUAD,0.8119999999999999,0.032710854467592226
S_path_wsi,TCGA-LUSC,0.7775510204081633,0.02212192182518247
S_path_wsi,TCGA-OV,0.9413793103448276,0.0268489853489611
S_path_wsi,TCGA-PRAD,0.992,0.004472135954999583
S_wsi_all,overall,0.46120313862249346,0.010624287364388791
S_wsi_all,TCGA-BRCA,0.7990697674418604,0.01783282745365657
S_wsi_all,TCGA-COAD,0.3931034482758621,0.04096213719817347
S_wsi_all,TCGA-GBM,0.42372881355932207,0.013399481610882955
S_wsi_all,TCGA-HNSC,0.29423076923076924,0.0416913142089977
S_wsi_all,TCGA-KIRC,0.6224299065420561,0.015638505168861228
S_wsi_all,TCGA-LGG,0.2882352941176471,0.025565499628245683
S_wsi_all,TCGA-LUAD,0.264,0.016733200530681523
S_wsi_all,TCGA-LUSC,0.24489795918367346,0.03460372440370034
S_wsi_all,TCGA-OV,0.503448275862069,0.025573098231364343
S_wsi_all,TCGA-PRAD,0.376,0.01816590212458497
S_wsi_clin,overall,0.4474280732345249,0.0052816499497335525
S_wsi_clin,TCGA-BRCA,0.8046511627906977,0.01973321249822927
S_wsi_clin,TCGA-COAD,0.39080459770114945,0.021503778084907704
S_wsi_clin,TCGA-GBM,0.4016949152542374,0.007579891449151837
S_wsi_clin,TCGA-HNSC,0.28846153846153844,0.02355278598829978
S_wsi_clin,TCGA-KIRC,0.6149532710280374,0.019153179001793644
S_wsi_clin,TCGA-LGG,0.2568627450980392,0.028917414125005148
S_wsi_clin,TCGA-LUAD,0.248,0.021679483388678804
S_wsi_clin,TCGA-LUSC,0.23469387755102042,0.014430750636460155
S_wsi_clin,TCGA-OV,0.45172413793103444,0.0232918208381143
S_wsi_clin,TCGA-PRAD,0.366,0.011401754250991391
S_wsi_mol,overall,0.44428945074106363,0.012910881585655296
S_wsi_mol,TCGA-BRCA,0.8130232558139534,0.014854622718764
S_wsi_mol,TCGA-COAD,0.3816091954022988,0.05292351463550041
